cand,mean_f1,std_f1,max_depth,min_samples_leaf,min_samples_split,max_features,class_weight,n_estimators_tune
4,0.9914139779709981,0.0006525243484953161,16,1,2,0.5,balanced,120
3,0.9911478462783888,0.001038070320715642,16,1,2,0.5,balanced_subsample,120
5,0.9910182336695261,0.0016541319464618218,16,1,2,0.75,balanced_subsample,120
6,0.9909744096362036,0.0017519510599090724,16,1,2,0.75,balanced,120
1,0.9909318085683505,0.0010441909210811662,16,1,2,sqrt,balanced_subsample,120
2,0.990890955176426,0.0015719909333279855,16,1,2,sqrt,balanced,120
