dataset_id,window_start,e_conn_count,e_unique_dst_ip,e_unique_dst_port,e_mean_duration,e_std_duration,e_mean_orig_bytes,e_mean_resp_bytes,e_mean_orig_pkts,e_mean_resp_pkts,e_tcp_ratio,e_udp_ratio,e_dns_ratio,e_ssl_ratio,e_http_ratio,e_rej_ratio,e_rst_ratio,e_interarrival_std,y
example1,1609952710,1,1,1,0.170301,0.0,99.0,169.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
example1,1609953035,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
example1,1609953240,1,1,1,110.009197,0.0,16496.0,308323.0,168.0,238.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
example1,1609953245,3,3,2,0.225028,0.11515825526060502,81.66666666666667,1880.3333333333333,2.6666666666666665,2.3333333333333335,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0756920576095581,2
example1,1609953250,4,1,1,0.18608625,0.008353251384191676,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.007448914584070986,2
example1,1609953255,1,1,1,98.856973,0.0,30659.0,1786.0,33.0,24.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
example1,1609953360,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
example1,1609953370,2,2,2,0.04762,0.04762,17.0,25.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2
example1,1609953400,2,2,2,0.35433749999999997,0.2802375,1152.0,2319.5,5.0,4.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,2
example1,1609953750,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
example1,1609953860,1,1,1,0.185618,0.0,99.0,120.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
example1,1609954095,1,1,1,0.170596,0.0,99.0,169.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
example1,1609954225,1,1,1,110.000715,0.0,9035.0,2698.0,16.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
example1,1609954305,3,2,2,0.21059400000000003,0.19093992714638464,285.3333333333333,2148.3333333333335,5.0,5.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.2109900712966919,2
example1,1609954340,1,1,1,0.107968,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2
example1,1609954360,1,1,1,0.094741,0.0,34.0,50.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2
example1,1609954450,1,1,1,1.540247,0.0,150.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2
example1,1609954475,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
example1,1609954500,2,2,2,0.4845165,0.1279325,706.5,2070.0,7.0,5.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,2
example1,1609954605,2,2,2,55.0874275,54.9599675,1582.5,3445.0,7.0,6.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,2
