Model,Macro_F1,F1_Normal,F1_SQLi,F1_Emotet
Logistic Regression,0.9249822565280814,0.9533984996590135,0.9349292709466812,0.8866189989785496
Random Forest,0.9866040799006939,0.9924073246985261,0.9892189218921892,0.9781859931113662
