,precision,recall,f1-score,support
Normal,0.9957382802707445,0.9957382802707445,0.9957382802707445,3989.0
SQLi,0.9929701230228472,0.9925340360122968,0.9927520316274984,2277.0
Emotet,0.9714285714285714,1.0,0.9855072463768116,34.0
accuracy,0.9946031746031746,0.9946031746031746,0.9946031746031746,0.9946031746031746
macro avg,0.9867123249073878,0.9960907720943472,0.9913325194250181,6300.0
weighted avg,0.9946065938970784,0.9946031746031746,0.9946037495861311,6300.0
