Model,Train F1,Test F1,CV Mean F1,CV Std
Decision Tree,0.9968620974401321,0.99076110866696,0.9501373647242408,0.05572277342158403
Random Forest,0.9968624428909562,0.991193306913254,0.9611096226735967,0.047922370898123096
